,secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,ss_flag,root,suffix
0,108105.0,2017-06-26,SPX 170818C1000000,1,2017-08-18,2017-06-14,C,1000000.0,1431.8,1437.9,0.0,5000.0,0.8195,0.996207,5e-06,3.664847,20.96492,115666483.0,1.0,0,,
1,108105.0,2017-06-26,SPX 170818C1100000,1,2017-08-18,,C,1100000.0,1331.7,1337.7,0.0,0.0,,,,,,115666484.0,1.0,0,,
2,108105.0,2017-06-26,SPX 170818C1175000,1,2017-08-18,,C,1175000.0,1257.2,1263.3,0.0,0.0,0.69509,0.995617,9e-06,5.278038,16.38128,115666485.0,1.0,0,,
3,108105.0,2017-06-26,SPX 170818C1200000,1,2017-08-18,,C,1200000.0,1232.3,1238.4,0.0,0.0,0.685771,0.995339,1e-05,6.016273,14.45392,115666486.0,1.0,0,,
4,108105.0,2017-06-26,SPX 170818C1225000,1,2017-08-18,,C,1225000.0,1207.0,1213.0,0.0,0.0,0.512824,0.997277,1e-06,0.467531,27.79252,115666487.0,1.0,0,,
5,108105.0,2017-06-26,SPX 170818C1250000,1,2017-08-18,,C,1250000.0,1182.4,1188.5,0.0,0.0,0.650067,0.995185,1.2e-05,6.420372,13.64345,115666488.0,1.0,0,,
6,108105.0,2017-06-26,SPX 170818C1275000,1,2017-08-18,,C,1275000.0,1157.1,1163.1,0.0,0.0,0.498774,0.997205,2e-06,0.706857,26.75529,115666489.0,1.0,0,,
7,108105.0,2017-06-26,SPX 170818C1300000,1,2017-08-18,,C,1300000.0,1132.2,1138.2,0.0,0.0,0.528603,0.996831,4e-06,1.864613,24.20898,115666490.0,1.0,0,,
8,108105.0,2017-06-26,SPX 170818C1325000,1,2017-08-18,,C,1325000.0,1107.6,1113.7,0.0,0.0,0.605639,0.994699,1.5e-05,7.679042,11.00284,115666491.0,1.0,0,,
9,108105.0,2017-06-26,SPX 170818C1350000,1,2017-08-18,,C,1350000.0,1082.3,1088.3,0.0,0.0,0.502828,0.99674,5e-06,2.13713,23.25514,115666492.0,1.0,0,,
10,108105.0,2017-06-26,SPX 170818C1375000,1,2017-08-18,,C,1375000.0,1057.4,1063.4,0.0,0.0,0.508377,0.996372,7e-06,3.201202,20.99061,115666493.0,1.0,0,,
