secid,symbol,date,exdate,cp_flag,strike_price,impl_volatility,mid_price,under_price
101594.0,AAPL 170203C117000,2017-01-03,2017-02-03,C,117000.0,0.225788,2.68,116.15
101594.0,AAPL 170203C117000,2017-01-04,2017-02-03,C,117000.0,0.221471,2.515,116.02
101594.0,AAPL 170203C117000,2017-01-05,2017-02-03,C,117000.0,0.229244,2.85,116.61
101594.0,AAPL 170203C118000,2017-01-03,2017-02-03,C,118000.0,0.224251,2.245,116.15
101594.0,AAPL 170203C118000,2017-01-04,2017-02-03,C,118000.0,0.220932,2.095,116.02
101594.0,AAPL 170203C118000,2017-01-05,2017-02-03,C,118000.0,0.226142,2.37,116.61
101594.0,AAPL 170203C118000,2017-01-06,2017-02-03,C,118000.0,0.221469,2.88,117.91
101594.0,AAPL 170203C119000,2017-01-03,2017-02-03,C,119000.0,0.222215,1.855,116.15
101594.0,AAPL 170203C119000,2017-01-04,2017-02-03,C,119000.0,0.216664,1.69,116.02
101594.0,AAPL 170203C119000,2017-01-05,2017-02-03,C,119000.0,0.223745,1.95,116.61
101594.0,AAPL 170203C119000,2017-01-06,2017-02-03,C,119000.0,0.219951,2.395,117.91
101594.0,AAPL 170203C120000,2017-01-03,2017-02-03,C,120000.0,0.221082,1.505,116.15
101594.0,AAPL 170203C120000,2017-01-04,2017-02-03,C,120000.0,0.214197,1.345,116.02
101594.0,AAPL 170203C120000,2017-01-05,2017-02-03,C,120000.0,0.221146,1.57,116.61
101594.0,AAPL 170203C120000,2017-01-06,2017-02-03,C,120000.0,0.217906,1.96,117.91
101594.0,AAPL 170203C121000,2017-01-03,2017-02-03,C,121000.0,0.219737,1.22,116.15
101594.0,AAPL 170203C121000,2017-01-04,2017-02-03,C,121000.0,0.214832,1.085,116.02
101594.0,AAPL 170203C121000,2017-01-05,2017-02-03,C,121000.0,0.219509,1.265,116.61
101594.0,AAPL 170203C121000,2017-01-06,2017-02-03,C,121000.0,0.21541,1.585,117.91
101594.0,AAPL 170203C122000,2017-01-03,2017-02-03,C,122000.0,0.218176,0.975,116.15
101594.0,AAPL 170203C122000,2017-01-04,2017-02-03,C,122000.0,0.211996,0.845,116.02
101594.0,AAPL 170203C122000,2017-01-05,2017-02-03,C,122000.0,0.217994,1.005,116.61
101594.0,AAPL 170203C122000,2017-01-06,2017-02-03,C,122000.0,0.21335,1.26,117.91
101594.0,AAPL 170203C123000,2017-01-03,2017-02-03,C,123000.0,0.219496,0.78,116.15
101594.0,AAPL 170203C123000,2017-01-04,2017-02-03,C,123000.0,0.212354,0.665,116.02
101594.0,AAPL 170203C123000,2017-01-05,2017-02-03,C,123000.0,0.218861,0.8,116.61
101594.0,AAPL 170203C123000,2017-01-06,2017-02-03,C,123000.0,0.210506,0.98,117.91
101594.0,AAPL 170203C124000,2017-01-03,2017-02-03,C,124000.0,0.217259,0.605,116.15
101594.0,AAPL 170203C124000,2017-01-04,2017-02-03,C,124000.0,0.212466,0.515,116.02
101594.0,AAPL 170203C124000,2017-01-05,2017-02-03,C,124000.0,0.217765,0.625,116.61
101594.0,AAPL 170203C124000,2017-01-06,2017-02-03,C,124000.0,0.213436,0.795,117.91
101594.0,AAPL 170203C125000,2017-01-03,2017-02-03,C,125000.0,0.213545,0.45,116.15
101594.0,AAPL 170203C125000,2017-01-04,2017-02-03,C,125000.0,0.212331,0.4,116.02
101594.0,AAPL 170203C125000,2017-01-05,2017-02-03,C,125000.0,0.215922,0.475,116.61
101594.0,AAPL 170203C125000,2017-01-06,2017-02-03,C,125000.0,0.210002,0.595,117.91
101594.0,AAPL 170203C126000,2017-01-03,2017-02-03,C,126000.0,0.215304,0.35,116.15
101594.0,AAPL 170203C126000,2017-01-04,2017-02-03,C,126000.0,0.213709,0.31,116.02
101594.0,AAPL 170203C126000,2017-01-05,2017-02-03,C,126000.0,0.217494,0.37,116.61
101594.0,AAPL 170203C126000,2017-01-06,2017-02-03,C,126000.0,0.212316,0.475,117.91
101594.0,AAPL 170203C127000,2017-01-03,2017-02-03,C,127000.0,0.215126,0.27,116.15
101594.0,AAPL 170203C127000,2017-01-04,2017-02-03,C,127000.0,0.222774,0.28,116.02
101594.0,AAPL 170203C127000,2017-01-05,2017-02-03,C,127000.0,0.216734,0.28,116.61
101594.0,AAPL 170203C127000,2017-01-06,2017-02-03,C,127000.0,0.212484,0.36,117.91
101594.0,AAPL 170203C128000,2017-01-03,2017-02-03,C,128000.0,0.218582,0.22,116.15
101594.0,AAPL 170203C128000,2017-01-04,2017-02-03,C,128000.0,0.224238,0.22,116.02
101594.0,AAPL 170203C128000,2017-01-05,2017-02-03,C,128000.0,0.220355,0.225,116.61
101594.0,AAPL 170203C128000,2017-01-06,2017-02-03,C,128000.0,0.215682,0.29,117.91
101594.0,AAPL 170203C129000,2017-01-03,2017-02-03,C,129000.0,0.218557,0.165,116.15
101594.0,AAPL 170203C129000,2017-01-04,2017-02-03,C,129000.0,0.232776,0.2,116.02
101594.0,AAPL 170203C129000,2017-01-05,2017-02-03,C,129000.0,0.222658,0.18,116.61
101594.0,AAPL 170203C129000,2017-01-06,2017-02-03,C,129000.0,0.210092,0.195,117.91
101594.0,AAPL 170203C130000,2017-01-03,2017-02-03,C,130000.0,0.222545,0.135,116.15
