secid,symbol,date,exdate,cp_flag,strike_price,impl_volatility,mid_price,under_price
108105.0,SPQ.VB,2008-09-18,2008-10-18,P,1010000.0,0.454369,4.85,1206.51
108105.0,SPQ.VB,2008-09-19,2008-10-18,P,1010000.0,0.465316,2.45,1255.08
108105.0,SPQ.VB,2008-09-22,2008-10-18,P,1010000.0,0.462833,3.75,1207.09
108105.0,SPQ.VC,2008-09-19,2008-10-18,P,1015000.0,0.460974,2.575,1255.08
108105.0,SPQ.VC,2008-09-22,2008-10-18,P,1015000.0,0.448519,3.6,1207.09
108105.0,SPQ.VD,2008-09-16,2008-10-18,P,1020000.0,0.382034,2.875,1213.6
108105.0,SPQ.VD,2008-09-17,2008-10-18,P,1020000.0,0.423202,9.6,1156.39
108105.0,SPQ.VD,2008-09-18,2008-10-18,P,1020000.0,0.440154,5.1,1206.51
108105.0,SPQ.VD,2008-09-19,2008-10-18,P,1020000.0,0.458075,2.75,1255.08
108105.0,SPQ.VD,2008-09-22,2008-10-18,P,1020000.0,0.456783,4.3,1207.09
108105.0,SPQ.VE,2008-09-16,2008-10-18,P,1025000.0,0.380103,3.125,1213.6
108105.0,SPQ.VE,2008-09-17,2008-10-18,P,1025000.0,0.421589,10.3,1156.39
108105.0,SPQ.VE,2008-09-18,2008-10-18,P,1025000.0,0.432375,5.2,1206.51
108105.0,SPQ.VE,2008-09-19,2008-10-18,P,1025000.0,0.469919,3.425,1255.08
108105.0,SPQ.VE,2008-09-22,2008-10-18,P,1025000.0,0.445176,4.25,1207.09
108105.0,SPQ.VF,2008-09-16,2008-10-18,P,1030000.0,0.383211,3.6,1213.6
108105.0,SPQ.VF,2008-09-17,2008-10-18,P,1030000.0,0.419424,11.0,1156.39
108105.0,SPQ.VF,2008-09-18,2008-10-18,P,1030000.0,0.437413,5.95,1206.51
108105.0,SPQ.VF,2008-09-19,2008-10-18,P,1030000.0,0.460074,3.4,1255.08
108105.0,SPQ.VF,2008-09-22,2008-10-18,P,1030000.0,0.451336,4.95,1207.09
