,secid,date,rate
0,108105.0,2017-01-03,1.900135
1,108105.0,2017-01-04,1.897222
2,108105.0,2017-01-05,1.905687
3,108105.0,2017-01-06,1.903993
4,108105.0,2017-01-09,1.899077
5,108105.0,2017-01-10,1.90141
6,108105.0,2017-01-11,1.90535
7,108105.0,2017-01-12,1.906123
8,108105.0,2017-01-13,1.907736
9,108105.0,2017-01-17,1.915325
10,108105.0,2017-01-18,1.920803
11,108105.0,2017-01-19,1.925321
12,108105.0,2017-01-20,1.934262
13,108105.0,2017-01-23,1.943715
14,108105.0,2017-01-24,1.94399
15,108105.0,2017-01-25,1.948096
16,108105.0,2017-01-26,1.955388
17,108105.0,2017-01-27,1.961198
18,108105.0,2017-01-30,1.969062
19,108105.0,2017-01-31,1.972055
20,108105.0,2017-02-01,1.979249
21,108105.0,2017-02-02,2.000145
22,108105.0,2017-02-03,2.001394
23,108105.0,2017-02-06,2.027183
24,108105.0,2017-02-07,2.027705
25,108105.0,2017-02-08,2.037315
26,108105.0,2017-02-09,2.037799
27,108105.0,2017-02-10,2.042002
28,108105.0,2017-02-13,2.049091
29,108105.0,2017-02-14,2.042187
30,108105.0,2017-02-15,2.040612
31,108105.0,2017-02-16,2.031018
32,108105.0,2017-02-17,2.029658
33,108105.0,2017-02-21,2.030702
34,108105.0,2017-02-22,2.027346
35,108105.0,2017-02-23,2.023728
36,108105.0,2017-02-24,2.023065
37,108105.0,2017-02-27,2.015643
38,108105.0,2017-02-28,1.978287
39,108105.0,2017-03-01,1.947233
40,108105.0,2017-03-02,1.93882
41,108105.0,2017-03-03,1.931496
42,108105.0,2017-03-06,1.90982
43,108105.0,2017-03-07,1.903921
44,108105.0,2017-03-08,1.896034
45,108105.0,2017-03-09,1.86516
46,108105.0,2017-03-10,1.859519
47,108105.0,2017-03-13,1.848551
48,108105.0,2017-03-14,1.843343
49,108105.0,2017-03-15,1.832384
50,108105.0,2017-03-16,1.827598
51,108105.0,2017-03-17,1.824839
52,108105.0,2017-03-20,1.815787
53,108105.0,2017-03-21,1.813156
54,108105.0,2017-03-22,1.804798
55,108105.0,2017-03-23,1.799222
56,108105.0,2017-03-24,1.7925
57,108105.0,2017-03-27,1.791979
58,108105.0,2017-03-28,1.765365
59,108105.0,2017-03-29,1.759917
60,108105.0,2017-03-30,1.749561
61,108105.0,2017-03-31,1.734142
62,108105.0,2017-04-03,1.73403
63,108105.0,2017-04-04,1.741711
64,108105.0,2017-04-05,1.738034
65,108105.0,2017-04-06,1.734367
66,108105.0,2017-04-07,1.732059
67,108105.0,2017-04-10,1.728979
68,108105.0,2017-04-11,1.735447
69,108105.0,2017-04-12,1.740789
70,108105.0,2017-04-13,1.744424
71,108105.0,2017-04-17,1.748811
72,108105.0,2017-04-18,1.756616
73,108105.0,2017-04-19,1.760969
74,108105.0,2017-04-20,1.762328
75,108105.0,2017-04-21,1.766747
76,108105.0,2017-04-24,1.761521
77,108105.0,2017-04-25,1.759702
78,108105.0,2017-04-26,1.750579
79,108105.0,2017-04-27,1.748381
80,108105.0,2017-04-28,1.752136
81,108105.0,2017-05-01,1.768755
82,108105.0,2017-05-02,1.773176
83,108105.0,2017-05-03,1.779894
84,108105.0,2017-05-04,1.788393
85,108105.0,2017-05-05,1.79059
86,108105.0,2017-05-08,1.78674
87,108105.0,2017-05-09,1.783721
88,108105.0,2017-05-10,1.786909
89,108105.0,2017-05-11,1.792558
90,108105.0,2017-05-12,1.795367
91,108105.0,2017-05-15,1.800191
92,108105.0,2017-05-16,1.803744
93,108105.0,2017-05-17,1.810843
94,108105.0,2017-05-18,1.812467
95,108105.0,2017-05-19,1.814792
96,108105.0,2017-05-22,1.819271
97,108105.0,2017-05-23,1.816245
98,108105.0,2017-05-24,1.816336
99,108105.0,2017-05-25,1.794568
100,108105.0,2017-05-26,1.796616
101,108105.0,2017-05-30,1.799237
102,108105.0,2017-05-31,1.799625
103,108105.0,2017-06-01,1.801157
104,108105.0,2017-06-02,1.817902
105,108105.0,2017-06-05,1.81199
106,108105.0,2017-06-06,1.811411
107,108105.0,2017-06-07,1.817127
108,108105.0,2017-06-08,1.817245
109,108105.0,2017-06-09,1.822854
110,108105.0,2017-06-12,1.827482
111,108105.0,2017-06-13,1.829057
