,date,days,rate
0,2017-01-03,7.0,0.733529
1,2017-01-03,15.0,0.750153
2,2017-01-03,43.0,0.926579
3,2017-01-03,71.0,0.970844
4,2017-01-04,7.0,0.728556
5,2017-01-04,14.0,0.742163
6,2017-01-04,42.0,0.931491
7,2017-01-04,70.0,0.974424
8,2017-01-05,7.0,0.728556
9,2017-01-05,13.0,0.740435
10,2017-01-05,41.0,0.937292
11,2017-01-05,69.0,0.980548
12,2017-01-06,7.0,0.727934
13,2017-01-06,12.0,0.737542
14,2017-01-06,40.0,0.94489
15,2017-01-06,68.0,0.987741
16,2017-01-09,7.0,0.728556
17,2017-01-09,9.0,0.732143
18,2017-01-09,37.0,0.962307
19,2017-01-09,65.0,1.001814
20,2017-01-09,100.0,1.032454
21,2017-01-10,7.0,0.729799
22,2017-01-10,8.0,0.731414
23,2017-01-10,36.0,0.968539
24,2017-01-10,64.0,1.008151
25,2017-01-10,99.0,1.036861
26,2017-01-11,7.0,0.727313
27,2017-01-11,31.0,0.777637
28,2017-01-11,35.0,0.787149
29,2017-01-11,63.0,0.908008
30,2017-01-11,98.0,0.972776
31,2017-01-12,7.0,0.727313
32,2017-01-12,31.0,0.777637
33,2017-01-12,34.0,0.784887
34,2017-01-12,62.0,0.90643
35,2017-01-12,97.0,0.968783
36,2017-01-13,7.0,0.731043
37,2017-01-13,31.0,0.77876
38,2017-01-13,33.0,0.783549
39,2017-01-13,61.0,0.907699
40,2017-01-13,96.0,0.973929
41,2017-01-17,7.0,0.730421
42,2017-01-17,29.0,0.775736
43,2017-01-17,57.0,0.911191
44,2017-01-17,92.0,0.977047
45,2017-01-18,7.0,0.734151
46,2017-01-18,28.0,0.780581
47,2017-01-18,56.0,0.919831
48,2017-01-18,91.0,0.986984
49,2017-01-19,7.0,0.734151
50,2017-01-19,27.0,0.778092
51,2017-01-19,55.0,0.931458
52,2017-01-19,90.0,1.004683
53,2017-01-20,7.0,0.733529
54,2017-01-20,26.0,0.774879
55,2017-01-20,54.0,0.932752
56,2017-01-20,89.0,1.00629
57,2017-01-23,7.0,0.732286
58,2017-01-23,23.0,0.765053
59,2017-01-23,51.0,0.930652
60,2017-01-23,86.0,0.999364
61,2017-01-24,7.0,0.732908
62,2017-01-24,22.0,0.764711
63,2017-01-24,50.0,0.935233
64,2017-01-24,85.0,1.007039
65,2017-01-25,7.0,0.733529
66,2017-01-25,21.0,0.764464
67,2017-01-25,49.0,0.940056
68,2017-01-25,84.0,1.012816
69,2017-01-26,7.0,0.731664
70,2017-01-26,20.0,0.761476
71,2017-01-26,48.0,0.94099
72,2017-01-26,83.0,1.012099
73,2017-01-27,7.0,0.730421
74,2017-01-27,19.0,0.759468
75,2017-01-27,47.0,0.942488
76,2017-01-27,82.0,1.011661
77,2017-01-30,7.0,0.732286
78,2017-01-30,16.0,0.755989
79,2017-01-30,44.0,0.950479
80,2017-01-30,79.0,1.014254
81,2017-01-31,7.0,0.731664
82,2017-01-31,15.0,0.753777
83,2017-01-31,43.0,0.95258
84,2017-01-31,78.0,1.013955
85,2017-02-01,7.0,0.731664
86,2017-02-01,14.0,0.751178
87,2017-02-01,42.0,0.954762
88,2017-02-01,77.0,1.015942
89,2017-02-02,7.0,0.730421
90,2017-02-02,13.0,0.746717
91,2017-02-02,41.0,0.954851
92,2017-02-02,76.0,1.014464
93,2017-02-03,7.0,0.731664
94,2017-02-03,12.0,0.744607
95,2017-02-03,40.0,0.957652
96,2017-02-03,75.0,1.014391
97,2017-02-06,7.0,0.732286
98,2017-02-06,9.0,0.737305
99,2017-02-06,37.0,0.975062
100,2017-02-06,72.0,1.020777
101,2017-02-06,100.0,1.048523
102,2017-02-07,7.0,0.731043
103,2017-02-07,8.0,0.73356
104,2017-02-07,36.0,0.982806
105,2017-02-07,71.0,1.027843
106,2017-02-07,99.0,1.055302
107,2017-02-08,7.0,0.729799
108,2017-02-08,28.0,0.782196
109,2017-02-08,35.0,0.797336
