date,exdate,fit_type,sigmaNTM,prob_40_perc,prob_2sigma,prob_5sigma,put_2sigma,put_5sigma,V,IV,D
2017-01-03,2017-02-17,"rho=0, grid",0.11554447826086958,0.0005750039274981667,0.002516214365437996,0.0001650164955405652,0.6321500288635455,0.03498748683580932,0.020971088678030485,0.019689030476708513,0.001282058201321972
2017-01-03,2017-02-17,"rho=0, global",0.11554447826086958,0.0005749540925802689,0.0025161916005292336,0.00016503771956022836,0.6321308145474234,0.034998270709339696,0.0209719103039144,0.019689665582244345,0.0012822447216700554
2017-01-03,2017-02-17,"VarRho, grid",0.11554447826086958,0.0005598976009815909,0.0025924911229819035,0.00016485184848702149,0.6375997991765985,0.038577111954142373,0.017842486882090804,0.026594844903516317,-0.008752358021425512
2017-01-03,2017-02-17,"VarRho, global",0.11554447826086958,0.0005578133194192824,0.002600579045796903,0.0001647499525215608,0.6380316498471892,0.0391315012173874,0.009950803711534012,0.036351141406028874,-0.02640033769449486
2017-01-03,2017-02-17,Spline,0.11554447826086958,0.00034375128435556985,0.008758656474425771,1.402688163635072e-5,0.6100714928152158,0.0005587195443911234,0.019932245731076412,0.018872494496044896,0.0010597512350315162
2017-01-04,2017-02-17,"rho=0, grid",0.1078383111111111,0.0004700666505632461,0.0023703045344409895,0.00018358215083390104,0.5828229497108133,0.04222159018342486,0.018161228581224577,0.01710937343376705,0.0010518551474575262
2017-01-04,2017-02-17,"rho=0, global",0.1078383111111111,0.0004697738753330761,0.002370109932973321,0.00018373614086406766,0.5826964114326003,0.042322205863807416,0.01816649132860122,0.017113242525507742,0.0010532488030934768
2017-01-04,2017-02-17,"VarRho, grid",0.1078383111111111,0.0004501722307454986,0.0026851064226210745,0.00016206532844506376,0.6067228746324886,0.038969420398544785,0.0077725246084535925,0.03256288739155354,-0.024790362783099946
2017-01-04,2017-02-17,"VarRho, global",0.1078383111111111,0.00045087111269338965,0.0024267234841095636,0.000182145298473877,0.5861426049669269,0.0476711863480036,0.008081095035349498,0.033441915215241466,-0.02536082017989197
2017-01-04,2017-02-17,Spline,0.1078383111111111,0.0008811684668962841,0.00245868463341211,6.677298084369478e-6,0.5792606487108038,0.00024675216542779065,0.016834395228562032,0.016033771185792453,0.0008006240427695793
2017-01-05,2017-02-17,"rho=0, grid",0.10697464444444445,0.00045883649595416647,0.002338216818772722,0.00015557524713835012,0.5674468335933476,0.030829409070232017,0.017227220480607534,0.01633485755550498,0.0008923629251025543
2017-01-05,2017-02-17,"rho=0, global",0.10697464444444445,0.0004588006291637008,0.002338190069474441,0.00015559944004813042,0.5674230662700452,0.030840376795192803,0.017228022573436093,0.01633550452340804,0.000892518050028053
2017-01-05,2017-02-17,"VarRho, grid",0.10697464444444445,0.00046798543820248333,0.0022891631927620857,0.00015385224683400203,0.5645944023769687,0.02911783494106035,0.017311029582989617,0.01639538908686301,0.0009156404961266074
2017-01-05,2017-02-17,"VarRho, global",0.10697464444444445,0.00047281797368121687,0.002261958005759802,0.00015266582093294363,0.5630617082781839,0.02825160534712634,0.01737934309231263,0.01646934756530586,0.0009099955270067718
2017-01-05,2017-02-17,Spline,0.10697464444444445,-4.4793785618996476e-5,0.004039814399257465,1.31020020557565e-5,0.5464452165850417,0.0005132076056377707,0.01646386961651236,0.0156945571069206,0.0007693125095917623
2017-01-06,2017-02-17,"rho=0, grid",0.10645560869565221,0.000351751480677296,0.0018086286283681753,0.000184686846320677,0.462984769664768,0.0560101591997173,0.017744243877860347,0.016606162262631775,0.001138081615228572
2017-01-06,2017-02-17,"rho=0, global",0.10645560869565221,0.00035169986315890483,0.0018086650922025185,0.00018468685528857037,0.46297355520636785,0.05602620383844725,0.01774520157446548,0.01660676951233738,0.0011384320621280995
2017-01-06,2017-02-17,"VarRho, grid",0.10645560869565221,0.00034105277884206755,0.0018408296493539304,0.00017652634309803044,0.46605032657191536,0.05938098401055658,0.016828763304858996,0.019086946435763627,-0.0022581831309046313
2017-01-06,2017-02-17,"VarRho, global",0.10645560869565221,0.0003391033819479027,0.001846522549470391,0.0001747131204874475,0.46656511037003234,0.0600442580714734,0.01325298815553502,0.023331414324425495,-0.010078426168890476
2017-01-06,2017-02-17,Spline,0.10645560869565221,0.0007164376833226437,0.01167608158863503,1.47570281114743e-5,0.4458138814590349,0.0005858410676684266,0.015805900649371304,0.01510597659211856,0.0006999240572527453
2017-01-09,2017-02-17,"rho=0, grid",0.10707924444444446,0.0003244744912634873,0.0019251192233675082,8.053636712314046e-5,0.4290713084762956,0.012959260934802208,0.016255420880474644,0.015608972533540315,0.0006464483469343293
2017-01-09,2017-02-17,"rho=0, global",0.10707924444444446,0.0003244713675327114,0.0019250779034142719,8.054480329106337e-5,0.42906196094619276,0.01296154816669795,0.016255755170235173,0.015609266871233448,0.000646488299001725
2017-01-09,2017-02-17,"VarRho, grid",0.10707924444444446,0.00028963422285899497,0.0020565118011130314,9.635600842156956e-5,0.4206612281292639,0.021175302446530653,0.016792426208128184,0.016909740278292174,-0.00011731407016398951
2017-01-09,2017-02-17,"VarRho, global",0.10707924444444446,0.0003202161334060415,0.0019483903727874146,8.263465185856975e-5,0.4291523372536954,0.013803014308778894,0.016341657316525253,0.015942802855279204,0.00039885446124604887
2017-01-09,2017-02-17,Spline,0.10707924444444446,0.0010209381153705708,-0.0010315436039123717,1.4953001451961695e-6,0.401991113736452,4.869458885502047e-5,0.015670824607051666,0.01506784718767547,0.0006029774193761963
2017-01-10,2017-02-17,"rho=0, grid",0.1071736,0.00034405485635549004,0.0015838189383400605,0.00012183323122034595,0.4053257328305335,0.024348037991784643,0.016999132879871242,0.01627531874117346,0.0007238141386977821
2017-01-10,2017-02-17,"rho=0, global",0.1071736,0.00034400039101637733,0.0015835456837806035,0.00012192236732342893,0.405273050428967,0.024382463033560786,0.017001665431484115,0.016277392587478307,0.0007242728440058077
2017-01-10,2017-02-17,"VarRho, grid",0.1071736,0.0003299123522673037,0.001623643563196524,0.00012598726429025498,0.40573429744505063,0.028131790309443683,0.01710257602660642,0.018576360118964512,-0.0014737840923580922
2017-01-10,2017-02-17,"VarRho, global",0.1071736,0.00032470645800005934,0.0016438379252861424,0.00012571267993215584,0.406699223906152,0.0292949654648878,0.009224037919014313,0.03663928050667332,-0.027415242587659004
